Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,95.0,110.0,51.0,86.0,81.0,86.0
FP,19.0,4.0,63.0,28.0,33.0,28.0
FN,43.0,70.0,9.0,42.0,39.0,41.0
TP,27.0,0.0,61.0,28.0,31.0,29.0
Accuracy,0.6630434782608695,0.5978260869565217,0.6086956521739131,0.6195652173913043,0.6086956521739131,0.625
