Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,59.0,79.0,68.0,64.0,64.0,56.0
FP,31.0,11.0,22.0,26.0,26.0,34.0
FN,43.0,85.0,46.0,45.0,43.0,46.0
TP,51.0,9.0,48.0,49.0,51.0,48.0
Accuracy,0.5978260869565217,0.4782608695652174,0.6304347826086957,0.6141304347826086,0.625,0.5652173913043478
