Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,105.0,122.0,66.0,99.0,89.0,93.0
FP,17.0,0.0,56.0,23.0,33.0,29.0
FN,38.0,62.0,10.0,34.0,28.0,26.0
TP,24.0,0.0,52.0,28.0,34.0,36.0
Accuracy,0.7010869565217391,0.6630434782608695,0.6413043478260869,0.6902173913043478,0.6684782608695652,0.7010869565217391
