Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,58.0,56.0,73.0,67.0,54.0,57.0
FP,31.0,33.0,16.0,22.0,35.0,32.0
FN,49.0,59.0,50.0,37.0,35.0,34.0
TP,46.0,36.0,45.0,58.0,60.0,61.0
Accuracy,0.5652173913043478,0.5,0.6413043478260869,0.6793478260869565,0.6195652173913043,0.6413043478260869
