Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,70.0,59.0,70.0,57.0,58.0,63.0
FP,19.0,30.0,19.0,32.0,31.0,26.0
FN,44.0,64.0,46.0,47.0,33.0,35.0
TP,51.0,31.0,49.0,48.0,62.0,60.0
Accuracy,0.657608695652174,0.4891304347826087,0.6467391304347826,0.5706521739130435,0.6521739130434783,0.6684782608695652
