Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,69.0,78.0,76.0,67.0,60.0,62.0
FP,18.0,9.0,11.0,20.0,27.0,25.0
FN,48.0,84.0,66.0,42.0,38.0,37.0
TP,49.0,13.0,31.0,55.0,59.0,60.0
Accuracy,0.6413043478260869,0.4945652173913043,0.5815217391304348,0.6630434782608695,0.6467391304347826,0.6630434782608695
