Type,Logistic,SVM,NB,RF,AdaBoost,GradientBoost
TN,97.0,114.0,56.0,94.0,91.0,89.0
FP,19.0,2.0,60.0,22.0,25.0,27.0
FN,44.0,66.0,9.0,36.0,43.0,38.0
TP,24.0,2.0,59.0,32.0,25.0,30.0
Accuracy,0.657608695652174,0.6304347826086957,0.625,0.6847826086956522,0.6304347826086957,0.6467391304347826
