Date,EFA,EEM,GLD,IYR
2008-01-18,-0.5016016616333642,0.8029073758115084,0.48605489574382366,0.2126393900780322
2008-01-25,-0.48381678621199564,0.7326197290235852,0.5150409045325237,0.23615615265588671
2008-02-01,-0.48573755913517047,0.7399996602823646,0.5112746120770773,0.2344632867757287
2008-02-08,-0.46270075580942743,0.665046879300867,0.5524005766662337,0.24525329984232677
2008-02-15,-0.456611805818408,0.6710954085550893,0.5445898944100607,0.24092650285325806
2008-02-22,-0.46780362581141405,0.6891459435237367,0.5389803152680459,0.23967736701963135
2008-02-29,-0.48428508322471125,0.6831403482494877,0.5489028733748148,0.25224186160040885
2008-03-07,-0.5065034727776033,0.7320928314068038,0.5239234565018476,0.25048718486895194
2008-03-14,-0.5044548356241151,0.729765734957194,0.5282401638919564,0.24644893677496474
2008-03-21,-0.5252810583776911,0.769051650251087,0.49580453065808366,0.26042487746852044
2008-03-28,-0.5317848305532811,0.7966161653919862,0.4784984894080072,0.25667017575328765
2008-04-04,-0.5431923763427632,0.830652867926153,0.45371953201465276,0.2588199764019574
2008-04-11,-0.5256891611477059,0.8183074426152173,0.44776989661016764,0.25961182192232113
2008-04-18,-0.5166498710999365,0.8102465432555541,0.44911126548723124,0.25729206235715113
2008-04-25,-0.520283922140635,0.8300221017421376,0.4335514639099222,0.2567103564885751
2008-05-02,-0.524535016023202,0.8444797795529669,0.4256906522605775,0.2543645842096577
2008-05-09,-0.5446680432843156,0.8670394203175714,0.4247533588990881,0.25287526406765615
2008-05-16,-0.5482089545000728,0.8701572907102082,0.4197917356018321,0.2582599281880325
2008-05-23,-0.5586121160764957,0.8755062445037656,0.4212529402766428,0.26185293129608733
2008-05-30,-0.5502634133956965,0.8706802884383315,0.41340004417982423,0.26618308077754094
2008-06-06,-0.5486209955188773,0.8575908421628796,0.42284113438440424,0.2681890189715934
2008-06-13,-0.534442874935718,0.8499684682556669,0.41824590079342944,0.2662285058866215
2008-06-20,-0.5178137415546482,0.8426130659531399,0.42132214554133907,0.2538785300601693
2008-06-27,-0.49704195888670183,0.845254626152359,0.41867079113450945,0.2331165415998332
2008-07-04,-0.5112225871943452,0.8565991391638484,0.4205101223403814,0.23411332569011528
2008-07-11,-0.4979487462395252,0.878586671749721,0.42235172845744917,0.19701034603235495
2008-07-18,-0.4897809531462802,0.8367841014677325,0.4424270529623771,0.21056979871617063
2008-07-25,-0.47778032222375894,0.844266840636609,0.43313376048806673,0.2003797210990833
2008-08-01,-0.4251933248083458,0.7806282637615841,0.4419571492085162,0.2026079118382455
2008-08-08,-0.4306229941304658,0.769429790107118,0.45914510721512036,0.20204809680822747
2008-08-15,-0.42117396177480354,0.7654050936919643,0.4494451683544339,0.20632369972840536
2008-08-22,-0.3774785094864735,0.7507248666647629,0.4356518943633386,0.19110174845837205
2008-08-29,-0.38319168364122524,0.8104426205140064,0.4185167479943583,0.1542323151328606
2008-09-05,-0.38836038564708086,0.7639438355185788,0.44055093542275076,0.18386561470575136
2008-09-12,-0.4325045158992208,0.8730996958837424,0.40748361690462676,0.1519212031108517
2008-09-19,-0.5034606338550356,0.968358441828906,0.3562903987804141,0.17881179324571553
2008-09-26,-0.4883155344711176,0.9747095244402306,0.3539537556822465,0.15965225434864047
2008-10-03,-0.48897445745393875,0.8376863412979082,0.42772918330670806,0.22355893284932257
2008-10-10,-0.4092544789237009,0.6463460179368741,0.4647208998008228,0.2981875611860041
2008-10-17,-0.47967622740659294,0.6526886690636574,0.5015999705866178,0.3253875877563179
2008-10-24,-0.5398913008986858,0.6981565993629856,0.4988487177285728,0.3428859838071274
2008-10-31,-0.4370585790958926,0.5662805906063582,0.5544181774349393,0.3163598110545951
2008-11-07,-0.4785599838170944,0.5908042936396759,0.5633222204808301,0.3244334696965884
2008-11-14,-0.4908179772714302,0.629673290366338,0.5778910664107092,0.28325362049438313
2008-11-21,-0.5407196405683813,0.6983260451291103,0.5753336250140575,0.26705997042521357
2008-11-28,-0.4710799048124558,0.653973857459236,0.5995386695040883,0.21756737784913158
2008-12-05,-0.432712494657299,0.7259742638875545,0.6116683702694428,0.09506986050030182
2008-12-12,-0.44338026266699004,0.7587105400010549,0.6085184912777469,0.07615123138818816
2008-12-19,-0.42476957603540444,0.7477862106351606,0.6164054583408781,0.06057790705936573
2008-12-26,-0.4148074805007419,0.7383343139657351,0.6178683720641844,0.05860479447082245
2009-01-02,-0.40289066055706235,0.7284575161274682,0.6237035219001569,0.050729622529437336
2009-01-09,-0.3821024366574108,0.7057009523611741,0.6306084152464162,0.045793069049820445
2009-01-16,-0.37650807727853,0.7026672503224723,0.637642207006609,0.03619861994944856
2009-01-23,-0.3758109039006622,0.7079101675844878,0.6403723027991685,0.02752843351700599
2009-01-30,-0.37637882924809785,0.701486419883569,0.6425894462951804,0.032302963069348434
2009-02-06,-0.3772040822620548,0.6930379887883681,0.6468245722796945,0.03734152119399233
2009-02-13,-0.374634800421517,0.6938915018391034,0.647138238795541,0.033605059786872525
2009-02-20,-0.3681792666072744,0.6983796549566305,0.6453155697317441,0.024484041918899885
2009-02-27,-0.35527087141571473,0.6892099819400958,0.6490748024815787,0.01698608699404041
2009-03-06,-0.36110365648708664,0.6982113670553581,0.6500107081708677,0.012881581260860808
2009-03-13,-0.3611069848696808,0.6940032387249435,0.6522303997598309,0.014873346384906474
2009-03-20,-0.3439431288400897,0.6789645782140944,0.65939225989354,0.0055862907324552465
2009-03-27,-0.33775726918181675,0.671265142492676,0.6689124934770635,-0.0024203667879227927
