Date,EFA,EEM,GLD,IYR
2010-06-19,-2.0,-1.0,1.0,2.0
2010-06-26,-1.0,2.0,2.0,1.0
2010-07-03,-2.0,-2.0,1.0,2.0
2010-07-10,1.0,-1.0,2.0,-1.0
2010-07-17,2.0,2.0,1.0,-1.0
2010-07-24,1.0,1.0,-1.0,1.0
2010-07-31,1.0,-1.0,-1.0,1.0
2010-08-07,2.0,2.0,1.0,2.0
2010-08-14,-1.0,1.0,1.0,1.0
2010-08-21,-1.0,1.0,1.0,2.0
2010-08-28,2.0,-2.0,-1.0,2.0
2010-09-04,1.0,-1.0,-1.0,1.0
2010-09-11,1.0,1.0,-1.0,-1.0
2010-09-18,2.0,1.0,1.0,2.0
2010-09-25,1.0,1.0,1.0,1.0
2010-10-02,-2.0,2.0,1.0,-2.0
2010-10-09,1.0,1.0,1.0,1.0
2010-10-16,-1.0,1.0,-2.0,1.0
2010-10-23,1.0,-1.0,1.0,-1.0
2010-10-30,2.0,2.0,2.0,-2.0
2010-11-06,1.0,1.0,1.0,1.0
2010-11-13,1.0,-1.0,-1.0,1.0
2010-11-20,1.0,-1.0,1.0,-1.0
2010-11-27,2.0,2.0,1.0,-2.0
2010-12-04,-1.0,-1.0,1.0,1.0
2010-12-11,1.0,-1.0,-1.0,1.0
2010-12-18,1.0,-2.0,1.0,1.0
2010-12-25,2.0,-1.0,2.0,1.0
2011-01-01,2.0,-2.0,2.0,2.0
2011-01-08,-2.0,-2.0,2.0,1.0
2011-01-15,1.0,-1.0,1.0,-1.0
2011-01-22,-1.0,-1.0,1.0,2.0
2011-01-29,1.0,-1.0,1.0,2.0
2011-02-05,-1.0,-1.0,1.0,1.0
2011-02-12,1.0,-1.0,1.0,1.0
2011-02-19,-1.0,-1.0,2.0,2.0
2011-02-26,-1.0,-1.0,2.0,2.0
2011-03-05,-2.0,-2.0,2.0,-1.0
2011-03-12,2.0,-2.0,1.0,1.0
2011-03-19,1.0,-1.0,1.0,-1.0
2011-03-26,1.0,-1.0,-1.0,2.0
2011-04-02,1.0,-1.0,2.0,1.0
2011-04-09,-1.0,-1.0,2.0,1.0
2011-04-16,-2.0,-2.0,-1.0,1.0
2011-04-23,-1.0,-1.0,2.0,2.0
2011-04-30,-2.0,-2.0,2.0,-1.0
2011-05-07,-1.0,-1.0,-1.0,-1.0
2011-05-14,1.0,-1.0,1.0,-1.0
2011-05-21,1.0,1.0,1.0,2.0
2011-05-28,1.0,1.0,1.0,2.0
2011-06-04,-1.0,2.0,1.0,2.0
2011-06-11,2.0,2.0,1.0,1.0
2011-06-18,1.0,2.0,2.0,2.0
2011-06-25,2.0,2.0,-1.0,2.0
2011-07-02,1.0,-1.0,2.0,1.0
2011-07-09,1.0,-1.0,2.0,-1.0
2011-07-16,-2.0,-2.0,-1.0,1.0
2011-07-23,-1.0,-1.0,1.0,-2.0
2011-07-30,-2.0,2.0,2.0,2.0
2011-08-06,-1.0,-1.0,-2.0,1.0
2011-08-13,-1.0,1.0,-2.0,1.0
2011-08-20,-1.0,1.0,-2.0,-1.0
2011-08-27,1.0,1.0,1.0,-1.0
2011-09-03,2.0,2.0,-1.0,-1.0
2011-09-10,2.0,2.0,-1.0,-1.0
2011-09-17,-2.0,2.0,-2.0,2.0
